date1,hour1,price,output
17.01.2015,14,34.5,7.664
17.01.2015,15,31.27,4.769
17.01.2015,16,33.84,3.405
17.01.2015,17,42.44,2.597
17.01.2015,18,45.84,2.22
17.01.2015,19,46.43,1.868
17.01.2015,20,39.96,1.286
17.01.2015,21,32.6,1.024
17.01.2015,22,37.78,1.113
17.01.2015,23,37.78,1.0659999999999998
18.01.2015,0,36.24,0.982
18.01.2015,1,33.8,1.1420000000000001
18.01.2015,2,28.75,1.39
18.01.2015,3,27.57,1.531
18.01.2015,4,24.34,3.418
18.01.2015,5,25.68,6.025
18.01.2015,6,28.79,8.476
18.01.2015,7,31.41,10.311
18.01.2015,8,33.0,9.501
18.01.2015,9,37.23,10.737
18.01.2015,10,39.07,11.674000000000001
18.01.2015,11,42.44,11.882
18.01.2015,12,43.33,12.593
18.01.2015,13,38.25,13.86
18.01.2015,14,33.88,14.272
18.01.2015,15,29.91,13.198
18.01.2015,16,30.44,16.055
18.01.2015,17,38.42,18.685
18.01.2015,18,48.95,20.383
18.01.2015,19,51.02,21.642
18.01.2015,20,50.62,21.721
18.01.2015,21,42.44,19.331
18.01.2015,22,44.94,16.142
18.01.2015,23,42.51,13.31
19.01.2015,0,38.24,11.747
19.01.2015,1,34.9,10.974
19.01.2015,2,33.04,9.786
19.01.2015,3,29.53,7.89
19.01.2015,4,28.07,6.104
19.01.2015,5,31.17,4.628
19.01.2015,6,42.87,3.55
19.01.2015,7,52.07,2.553
19.01.2015,8,56.49,1.449
19.01.2015,9,52.38,0.273
19.01.2015,10,52.34,0.28
19.01.2015,11,50.68,0.767
19.01.2015,12,49.31,1.464
19.01.2015,13,48.84,2.186
19.01.2015,14,47.72,2.948
19.01.2015,15,47.43,4.954
19.01.2015,16,48.19,8.676
19.01.2015,17,52.16,10.857999999999999
19.01.2015,18,64.7,9.797
19.01.2015,19,54.91,7.705
19.01.2015,20,51.04,6.641
19.01.2015,21,44.36,5.212000000000001
19.01.2015,22,49.5,4.268
19.01.2015,23,49.86,4.021
20.01.2015,0,43.02,3.8680000000000003
20.01.2015,1,41.33,3.7239999999999998
20.01.2015,2,42.02,3.855
20.01.2015,3,36.28,3.747
20.01.2015,4,33.41,3.409
20.01.2015,5,38.71,2.853
20.01.2015,6,44.67,2.182
20.01.2015,7,53.39,1.8219999999999998
20.01.2015,8,58.88,1.585
20.01.2015,9,58.8,1.325
20.01.2015,10,57.34,0.809
20.01.2015,11,57.46,0.544
20.01.2015,12,53.53,0.5379999999999999
20.01.2015,13,52.93,0.8
20.01.2015,14,52.38,1.278
20.01.2015,15,52.1,2.423
20.01.2015,16,51.04,4.8469999999999995
20.01.2015,17,58.55,6.159
20.01.2015,18,66.65,6.011
20.01.2015,19,56.02,5.385
20.01.2015,20,50.09,4.173
20.01.2015,21,42.73,3.154
20.01.2015,22,46.75,2.4619999999999997
20.01.2015,23,45.53,1.906
21.01.2015,0,44.8,1.46
21.01.2015,1,44.15,1.071
21.01.2015,2,44.15,0.8909999999999999
21.01.2015,3,38.99,1.382
21.01.2015,4,37.68,2.2030000000000003
21.01.2015,5,39.52,2.533
21.01.2015,6,44.78,2.083
21.01.2015,7,54.12,1.51
21.01.2015,8,58.39,1.206
21.01.2015,9,61.72,0.56
21.01.2015,10,61.34,0.429
